recipe_id,Title,Cuisine,prep_time,cook_time,total_time,servings,calories,fat,carbs,protein
58,Keufels (Original),Amish and Mennonite,30 mins,20 mins,50 mins,24,138.0,9g,14g,2g
59,Amish Brown Sugar Cake,Amish and Mennonite,15 mins,35 mins,50 mins,18,254.0,10g,39g,3g
60,Amish Cran-Apple Pie,Amish and Mennonite,20 mins,40 mins,1 hr,8,379.0,19g,50g,4g
61,Chef John's Chimichurri Sauce,Argentinian,15 mins,,15 mins,4,255.0,27g,3g,1g
62,Easy Chimichurri,Argentinian,15 mins,,2 hrs 15 mins,16,70.0,7g,2g,0g
63,Chimichurri Sauce,Argentinian,5 mins,,5 mins,12,133.0,14g,1g,0g
64,Alfajores Argentinean Style,Argentinian,30 mins,10 mins,1 hr 20 mins,36,157.0,7g,23g,1g
65,Authentic Empanada Pastry Dough,Argentinian,15 mins,,45 mins,12,116.0,5g,16g,3g
67,Chimichurri Roasted Potatoes,Argentinian,15 mins,35 mins,55 mins,4,291.0,14g,39g,5g
68,Beef Empanadas,Argentinian,45 mins,40 mins,2 hrs 25 mins,12,535.0,22g,66g,23g
69,Argentine Meat Empanadas,Argentinian,45 mins,35 mins,1 hr 20 mins,10,498.0,37g,28g,15g
71,Chipas (Argentinean Cheese Bread),Argentinian,15 mins,10 mins,25 mins,8,285.0,11g,39g,8g
72,Rosemary Steak,Argentinian,5 mins,20 mins,2 hrs 25 mins,4,506.0,35g,2g,33g
73,Argentinean Potato Salad,Argentinian,20 mins,25 mins,1 hr 45 mins,6,271.0,18g,22g,6g
74,Argentinian-Style Ribs,Argentinian,5 mins,10 mins,15 mins,6,,,,
75,Gluten-Free Sandwich Cookies with Dulce de Leche (Alfajores),Argentinian,25 mins,10 mins,1 hr 5 mins,24,222.0,10g,31g,2g
76,Empanadas Abiertas de Humita (Creamy Corn Empanadas),Argentinian,15 mins,23 mins,38 mins,12,224.0,9g,31g,6g
77,Easy Chimichurri Sauce,Argentinian,15 mins,,1 hr 30 mins,10,167.0,17g,3g,1g
78,Beef Empanadas with Olives and Raisins,Argentinian,30 mins,35 mins,1 hr 20 mins,10,424.0,18g,48g,20g
80,Dulce de Leche,Argentinian,15 mins,1 hr,1 hr 15 mins,32,171.0,2g,34g,4g
81,Authentic Chimichurri,Argentinian,10 mins,,10 mins,8,133.0,14g,1g,0g
82,Argentine Lentil Stew,Argentinian,15 mins,40 mins,55 mins,4,266.0,4g,46g,13g
83,Chimichurri Marinade,Argentinian,15 mins,,15 mins,8,258.0,27g,3g,1g
84,Squash and Kohlrabi Empanadas,Argentinian,40 mins,20 mins,1 hr,8,308.0,20g,28g,5g
85,Argentinian Steak with Red Chimichurri,Argentinian,30 mins,15 mins,7 hrs 45 mins,4,758.0,56g,23g,44g
87,Quince Empanadas,Argentinian,30 mins,15 mins,1 hr 15 mins,12,188.0,5g,31g,3g
88,Argentine Corn Pie,Argentinian,15 mins,45 mins,1 hr 15 mins,8,288.0,18g,27g,7g
89,Chimichurri Muy Pefecto,Argentinian,10 mins,,10 mins,6,336.0,36g,4g,1g
90,Meat Pie with Hot Water Crust,Australian and New Zealander,30 mins,2 hrs,2 hrs 40 mins,12,640.0,38g,45g,27g
91,Pavlova Deluxe,Australian and New Zealander,,,,8,254.0,14g,30g,4g
92,A Drama Queen's Pavlova,Australian and New Zealander,30 mins,50 mins,1 hr 20 mins,12,207.0,5g,40g,3g
93,Apricot Anzac Biscuits,Australian and New Zealander,15 mins,16 mins,31 mins,15,219.0,11g,29g,3g
94,Orange Pikelets,Australian and New Zealander,10 mins,4 mins,24 mins,8,79.0,0g,18g,1g
95,ANZAC Biscuits with Almonds,Australian and New Zealander,10 mins,15 mins,1 hr,50,85.0,5g,10g,1g
96,Easy Pavlova,Australian and New Zealander,30 mins,1 hr,2 hrs,8,373.0,22g,42g,4g
97,Australian Damper,Australian and New Zealander,30 mins,30 mins,1 hr,15,133.0,1g,26g,4g
98,Samoan Panikeke,Australian and New Zealander,10 mins,30 mins,40 mins,12,337.0,11g,55g,4g
99,Lamingtons,Australian and New Zealander,40 mins,30 mins,9 hrs 45 mins,24,249.0,11g,37g,3g
100,A Number-One Egg Bread,Australian and New Zealander,25 mins,40 mins,3 hrs 25 mins,18,214.0,9g,27g,6g
101,The Best Pavlova,Australian and New Zealander,25 mins,1 hr,1 hr 55 mins,12,186.0,9g,25g,2g
102,Ono Butter Mochi,Australian and New Zealander,5 mins,1 hr,1 hr 5 mins,12,463.0,14g,78g,7g
