recipe_id,Title,Cuisine,prep_time,cook_time,total_time,servings,calories,fat,carbs,protein
263,Louisiana Crawfish Boil,Cajun and Creole,30 mins,1 hr,1 hr 30 mins,10,541.0,22g,38g,51g
264,Blackened Seasoning Mix,Cajun and Creole,5 mins,,5 mins,12,9.0,0g,2g,0g
265,Blackened Fish,Cajun and Creole,15 mins,5 mins,30 mins,6,498.0,41g,2g,31g
266,Blackened Salmon Fillets,Cajun and Creole,15 mins,10 mins,25 mins,4,511.0,38g,5g,37g
267,Chef John's Shrimp Étouffée,Cajun and Creole,35 mins,20 mins,1 hr 15 mins,4,424.0,15g,30g,41g
268,Chef John's Sausage & Shrimp Jambalaya,Cajun and Creole,15 mins,1 hr,1 hr 15 mins,4,495.0,25g,37g,30g
269,Easy Red Beans and Rice,Cajun and Creole,10 mins,30 mins,40 mins,8,289.0,6g,42g,16g
270,Authentic New Orleans Red Beans and Rice,Cajun and Creole,20 mins,5 hrs 10 mins,5 hrs 30 mins,10,465.0,21g,44g,26g
271,Colleen's Slow Cooker Jambalaya,Cajun and Creole,20 mins,3 hrs,3 hrs 20 mins,12,235.0,14g,6g,20g
272,Mama's Tomato Gravy,Cajun and Creole,5 mins,10 mins,15 mins,8,86.0,8g,4g,1g
273,Cajun Blackened Catfish,Cajun and Creole,10 mins,10 mins,20 mins,4,466.0,43g,2g,18g
274,Cajun-Style Blackened Snapper,Cajun and Creole,15 mins,10 mins,25 mins,4,806.0,72g,6g,36g
275,Easy Cajun Jambalaya,Cajun and Creole,15 mins,30 mins,45 mins,6,488.0,14g,59g,29g
276,Blackened Tuna,Cajun and Creole,10 mins,10 mins,20 mins,6,243.0,14g,1g,27g
277,Louisiana Shrimp Creole,Cajun and Creole,15 mins,20 mins,35 mins,5,253.0,9g,21g,24g
278,Cajun Chicken,Cajun and Creole,15 mins,15 mins,1 hr,10,536.0,48g,2g,25g
279,Simple Cajun Seasoning,Cajun and Creole,5 mins,,5 mins,20,3.0,0g,1g,0g
280,Remoulade Sauce à la New Orleans,Cajun and Creole,20 mins,,20 mins,6,359.0,37g,7g,1g
281,Buffalo Shrimp,Cajun and Creole,15 mins,10 mins,40 mins,4,626.0,32g,54g,30g
282,Cajun Boudin,Cajun and Creole,45 mins,2 hrs,2 hrs 45 mins,18,188.0,7g,20g,11g
283,Creole Chitterlings (Chitlins),Cajun and Creole,30 mins,3 hrs 30 mins,4 hrs,20,356.0,30g,6g,15g
284,Cajun Seafood Pasta,Cajun and Creole,15 mins,30 mins,45 mins,6,695.0,37g,62g,32g
285,Cajun Deep-Fried Turkey,Cajun and Creole,30 mins,45 mins,9 hrs 35 mins,12,1036.0,71g,3g,91g
286,Crispy Fried Fish,Cajun and Creole,30 mins,15 mins,45 mins,4,634.0,24g,69g,29g
287,Easy Sausage and Shrimp Gumbo,Cajun and Creole,20 mins,1 hr 12 mins,1 hr 32 mins,8,568.0,45g,19g,21g
288,Louisiana Red Beans and Rice,Cajun and Creole,20 mins,8 hrs 10 mins,8 hrs 30 mins,8,556.0,22g,62g,27g
289,Andouille Sausage,Cajun and Creole,20 mins,15 mins,1 hr 35 mins,24,482.0,46g,1g,16g
290,Turducken,Cajun and Creole,1 hr,4 hrs,5 hrs,24,836.0,53g,5g,79g
291,Cajun Shrimp,Cajun and Creole,5 mins,5 mins,10 mins,4,166.0,5g,1g,28g
292,Air Fryer Beignets,Cajun and Creole,15 mins,15 mins,30 mins,7,88.0,2g,16g,2g
293,Deep-Fried Turkey Marinade,Cajun and Creole,10 mins,,8 hrs,15,128.0,9g,11g,2g
294,Crawfish Fettuccine I,Cajun and Creole,15 mins,1 hr 15 mins,1 hr 30 mins,8,490.0,23g,49g,24g
296,Shrimp and Okra Gumbo,Cajun and Creole,15 mins,2 hrs,2 hrs 15 mins,6,394.0,21g,18g,35g
297,Cajun Ponchartrain Sauce,Cajun and Creole,10 mins,5 mins,15 mins,2,355.0,35g,4g,8g
298,Okra Gumbo,Cajun and Creole,15 mins,1 hr,1 hr 15 mins,8,105.0,6g,12g,3g
300,Creamy Cajun Potato Soup,Cajun and Creole,15 mins,30 mins,45 mins,6,620.0,43g,43g,16g
301,Creamy Cajun Shrimp and Sausage Pasta,Cajun and Creole,20 mins,25 mins,45 mins,6,408.0,27g,28g,15g
302,Cajun Shrimp and Sausage Pasta Bake,Cajun and Creole,15 mins,45 mins,1 hr,4,635.0,39g,35g,35g
304,Cajun Pastalaya,Cajun and Creole,15 mins,45 mins,1 hr,8,640.0,32g,54g,37g
305,Easy Creole Okra and Shrimp,Cajun and Creole,20 mins,55 mins,1 hr 15 mins,8,205.0,7g,10g,26g
306,Creamy Cajun Chicken Pasta,Cajun and Creole,15 mins,15 mins,30 mins,2,1109.0,82g,54g,43g
307,Cajun Style Stuffed Peppers,Cajun and Creole,45 mins,15 mins,1 hr,6,307.0,10g,40g,17g
308,Bubba's Jambalaya,Cajun and Creole,25 mins,40 mins,1 hr 5 mins,12,349.0,14g,32g,23g
309,Oven Baked Jambalaya,Cajun and Creole,45 mins,2 hrs,2 hrs 45 mins,16,541.0,26g,48g,29g
310,Nanaimo Bars,Canadian,30 mins,,30 mins,16,311.0,20g,34g,3g
311,Boneless Buffalo Wings,Canadian,10 mins,20 mins,50 mins,6,710.0,47g,44g,28g
312,Maritime Donair Sauce,Canadian,5 mins,,1 hr 5 mins,6,112.0,3g,19g,3g
313,Gramma's Date Squares,Canadian,25 mins,25 mins,50 mins,12,363.0,13g,64g,4g
314,Jalapeño Jelly,Canadian,15 mins,45 mins,1 hr,32,109.0,0g,28g,0g
315,Real Poutine,Canadian,10 mins,20 mins,30 mins,4,708.0,46g,51g,24g
316,Best Fried Walleye,Canadian,20 mins,15 mins,35 mins,4,592.0,31g,40g,39g
317,Jamaican Style Curry Chicken,Canadian,10 mins,45 mins,55 mins,4,210.0,15g,6g,13g
318,French Canadian Tourtière,Canadian,40 mins,40 mins,2 hrs,8,405.0,27g,22g,18g
319,Pure Maple Candy,Canadian,15 mins,10 mins,1 hr 5 mins,18,113.0,2g,24g,1g
320,Dash's Donair,Canadian,30 mins,1 hr 15 mins,1 hr 45 mins,4,489.0,21g,50g,26g
321,Tourtiere (French Canadian Meat Pie),Canadian,20 mins,2 hrs,2 hrs 25 mins,8,767.0,47g,47g,37g
322,Apple Cinnamon Oatmeal Muffins,Canadian,20 mins,15 mins,35 mins,12,196.0,7g,30g,4g
323,Canadian Yellow Split Pea Soup with Ham,Canadian,20 mins,3 hrs 10 mins,3 hrs 30 mins,12,172.0,0g,32g,12g
324,Sautéed Fiddleheads,Canadian,15 mins,15 mins,30 mins,6,80.0,7g,3g,2g
325,Instant Pot Baked Beans,Canadian,15 mins,1 hr 10 mins,2 hrs 5 mins,12,321.0,15g,36g,11g
326,Elk Steak Marinade,Canadian,5 mins,10 mins,4 hrs 15 mins,4,259.0,13g,3g,33g
327,Newfoundland Jigg's Dinner,Canadian,30 mins,2 hrs 45 mins,11 hrs 15 mins,6,958.0,24g,144g,46g
328,The Original Donair From the East Coast of Canada,Canadian,15 mins,1 hr,9 hrs 45 mins,6,450.0,14g,57g,22g
330,Christmas Brunch Casserole,Canadian,20 mins,1 hr 15 mins,9 hrs 35 mins,8,421.0,33g,17g,14g
331,Donair,Canadian,20 mins,2 hrs 25 mins,3 hrs 15 mins,6,517.0,15g,67g,28g
332,Nova Scotian Hodge Podge,Canadian,25 mins,1 hr 10 mins,1 hr 35 mins,6,241.0,19g,17g,3g
333,Crispy Fried Smelts,Canadian,10 mins,10 mins,20 mins,3,440.0,19g,43g,22g
334,Sex-in-a-Pan,Canadian,25 mins,25 mins,2 hrs 20 mins,25,251.0,16g,25g,3g
335,Chômeur's Pudding,Canadian,15 mins,55 mins,1 hr 10 mins,12,344.0,9g,66g,3g
336,Tourtière (French Canadian Meat Pie),Canadian,20 mins,2 hrs 45 mins,3 hrs 15 mins,8,485.0,32g,31g,18g
337,Old-Time Mincemeat Pie,Canadian,45 mins,2 hrs 55 mins,7 days 3 hrs 40 mins,8,1106.0,38g,181g,21g
338,Real French Crêpes,Canadian,5 mins,15 mins,20 mins,7,110.0,2g,17g,5g
339,Pork Pie,Canadian,15 mins,50 mins,1 hr 5 mins,8,712.0,51g,28g,33g
340,Lobster Rolls,Canadian,15 mins,,15 mins,4,369.0,11g,25g,40g
341,Butter Tarts,Canadian,15 mins,20 mins,35 mins,12,641.0,32g,86g,8g
342,Cretons,Canadian,10 mins,1 hr 10 mins,1 hr 20 mins,12,101.0,6g,4g,8g
343,Brown Sugar Pie I,Canadian,30 mins,30 mins,1 hr,8,346.0,9g,63g,4g
344,Canadian Pork Loin Chops,Canadian,30 mins,20 mins,4 hrs 50 mins,6,344.0,18g,20g,25g
345,Favorite Fry Bread Tacos,Canadian,20 mins,20 mins,40 mins,6,696.0,41g,51g,33g
346,Baked Taco Dip,Canadian,10 mins,30 mins,40 mins,8,317.0,24g,7g,19g
347,Garlic Prawns,Canadian,15 mins,3 mins,1 hr 18 mins,6,231.0,19g,6g,10g
348,Mom's Nova Scotia Seafood Chowder,Canadian,25 mins,1 hr 5 mins,1 hr 30 mins,20,525.0,38g,19g,28g
349,Sesame Jellyfish Salad,Canadian,10 mins,5 mins,30 mins,4,148.0,14g,3g,5g
350,Thera's Canadian Fried Dough,Canadian,30 mins,20 mins,1 hr 55 mins,20,284.0,10g,46g,6g
351,Canadian Walleye (Pickerel),Canadian,30 mins,15 mins,45 mins,8,439.0,16g,33g,38g
352,Miraculous Canadian Sugar Pie,Canadian,10 mins,50 mins,2 hrs,8,331.0,8g,62g,4g
353,Baked Chicken In a Sweet BBQ Sauce,Canadian,10 mins,50 mins,1 hr,4,275.0,4g,32g,25g
354,Northern Ontario Partridge (Ruffed Grouse),Canadian,25 mins,1 hr,1 hr 25 mins,4,484.0,26g,12g,30g
355,Apple Crisp Cups,Canadian,45 mins,20 mins,1 hr 5 mins,48,109.0,6g,13g,1g
356,Italian-Style Bruschetta,Canadian,15 mins,5 mins,1 hr 20 mins,8,234.0,11g,29g,6g
357,Dave Matthews,Canadian,5 mins,,5 mins,1,,,,
358,Celery Herb Stuffing and Savory Chicken,Canadian,20 mins,1 hr 15 mins,1 hr 35 mins,5,599.0,40g,19g,40g
359,Pouding Chomeur,Canadian,15 mins,35 mins,1 hr,10,602.0,33g,76g,5g
360,Perfectly Dry Roasted Chickpeas,Canadian,5 mins,40 mins,3 hrs 30 mins,4,85.0,1g,16g,4g
361,Poutine Gravy,Canadian,25 mins,30 mins,55 mins,8,327.0,22g,18g,14g
362,Rappie Pie,Canadian,1 hr,2 hrs 5 mins,3 hrs 5 mins,8,733.0,9g,104g,58g
363,Maple Butter Tarts,Canadian,15 mins,20 mins,35 mins,16,258.0,10g,41g,3g
364,Greek Lemon Chicken and Potato Bake,Canadian,10 mins,1 hr,1 hr 10 mins,4,551.0,29g,42g,35g
365,Garlic Dill New Potatoes,Canadian,10 mins,10 mins,20 mins,5,330.0,7g,62g,6g
366,Raisin Butter Tarts,Canadian,,,,14,368.0,15g,54g,4g
367,Newfoundland-Style Pea Soup,Canadian,20 mins,50 mins,9 hrs 10 mins,10,201.0,4g,28g,15g
368,Flapper Pie,Canadian,30 mins,30 mins,1 hr,6,490.0,22g,66g,9g
369,Browned Butter Banana Bread,Canadian,15 mins,50 mins,1 hr 20 mins,6,389.0,17g,55g,5g
370,Maple Walnut Ice Cream,Canadian,30 mins,35 mins,4 hrs 5 mins,8,487.0,33g,46g,7g
371,Sausage and Pepper Penne,Canadian,15 mins,20 mins,35 mins,6,638.0,22g,85g,27g
372,The Best Ricotta Pancakes,Canadian,15 mins,10 mins,25 mins,12,86.0,4g,8g,5g
373,Canadian Sharp Cheddar Cheese Spread,Canadian,10 mins,5 mins,8 hrs 45 mins,12,116.0,9g,5g,5g
374,Chilean-Style Sopaipillas,Chilean,20 mins,25 mins,1 hr,12,286.0,14g,36g,5g
375,Chilean Empanada,Chilean,20 mins,40 mins,1 hr 10 mins,12,530.0,28g,54g,16g
376,Manjar (Dulce de Leche) from Scratch,Chilean,5 mins,1 hr 30 mins,1 hr 35 mins,16,85.0,2g,15g,2g
377,Chilean Dobladitas,Chilean,25 mins,15 mins,40 mins,8,477.0,28g,49g,7g
378,Pastel de Papas (Chilean Potato Pie),Chilean,35 mins,1 hr 5 mins,1 hr 50 mins,8,366.0,25g,22g,14g
379,Empanadas Fritas de Queso,Chilean,20 mins,20 mins,55 mins,8,343.0,14g,39g,15g
380,Leche Asada,Chilean,15 mins,50 mins,1 hr 5 mins,6,258.0,9g,25g,10g
382,Porotos Granados (Chilean Bean Stew),Chilean,15 mins,45 mins,1 hr,6,285.0,4g,53g,14g
383,Isa's Cola de Mono,Chilean,,45 mins,45 mins,16,,,,
384,Chilean Alfajores,Chilean,30 mins,2 hrs 15 mins,2 hrs 55 mins,30,86.0,4g,11g,2g
385,Cazuela de Vaca (Beef and Pumpkin Stew),Chilean,30 mins,2 hrs 15 mins,2 hrs 45 mins,6,314.0,11g,35g,22g
386,Lemon Pisco Sour,Chilean,2 mins,,2 mins,1,,,,
387,"Gambas Pil Pil (Prawns, Chilean Style)",Chilean,20 mins,12 mins,32 mins,6,278.0,19g,4g,19g
388,Chilean Pebre,Chilean,10 mins,,10 mins,6,106.0,9g,7g,1g
389,Pisco Sour II,Chilean,5 mins,,5 mins,8,,,,
390,Ajiaco (Beef and Pepper Stew),Chilean,25 mins,35 mins,1 hr,4,579.0,24g,34g,54g
391,Creamy Manjar (Dulce de Leche),Chilean,5 mins,1 hr 25 mins,1 hr 30 mins,50,110.0,3g,20g,3g
393,Chilled Lo Mein Noodles with Szechuan Peppercorns,Chinese,10 mins,5 mins,15 mins,6,145.0,10g,10g,3g
395,4-Ingredient Orange Chicken,Chinese,5 mins,20 mins,25 mins,4,615.0,23g,85g,20g
396,Copycat Din Tai Fung Cucumber Salad,Chinese,10 mins,,50 mins,6,43.0,2g,5g,1g
397,Baked Sweet And Sour Chicken,Chinese,20 mins,30 mins,50 mins,4,823.0,30g,88g,53g
398,Copycat Panda Express Orange Chicken,Chinese,20 mins,20 mins,40 mins,6,726.0,27g,76g,45g
399,Ginger Chicken,Chinese,15 mins,30 mins,45 mins,4,547.0,20g,40g,46g
400,Veggie Lo Mein,Chinese,15 mins,15 mins,30 mins,4,285.0,11g,38g,10g
401,Lazy Wonton Soup,Chinese,10 mins,30 mins,40 mins,6,418.0,21g,25g,30g
402,Sesame Chicken with Broccoli,Chinese,25 mins,20 mins,45 mins,4,652.0,32g,31g,60g
403,Crispy Chinese Noodles,Chinese,5 mins,15 mins,20 mins,8,151.0,6g,20g,3g
404,Shrimp with Broccoli in Garlic Sauce,Chinese,15 mins,15 mins,30 mins,4,264.0,9g,15g,30g
406,Chicken in Black Bean Sauce,Chinese,15 mins,15 mins,50 mins,6,266.0,8g,9g,38g
407,Quick Beef Stir-Fry,Chinese,15 mins,10 mins,25 mins,4,268.0,16g,9g,23g
409,Orange Chicken,Chinese,20 mins,20 mins,2 hrs 50 mins,4,445.0,11g,69g,18g
410,Perfect Pot Stickers,Chinese,25 mins,5 mins,1 hr,6,439.0,19g,46g,20g
411,Pork Dumplings,Chinese,45 mins,15 mins,1 hr,10,752.0,29g,81g,39g
412,Super Easy Cabbage Stir Fry,Chinese,10 mins,5 mins,15 mins,4,65.0,4g,7g,2g
413,Kung Pao Chicken,Chinese,30 mins,30 mins,1 hr 30 mins,4,437.0,23g,25g,34g
414,Honey Walnut Shrimp,Chinese,15 mins,20 mins,35 mins,4,605.0,26g,68g,26g
415,Sweet and Sour Pork,Chinese,30 mins,30 mins,2 hrs,4,663.0,35g,75g,14g
416,Mongolian Beef and Spring Onions,Chinese,15 mins,10 mins,35 mins,4,391.0,12g,55g,18g
417,Chinese Pork Dumplings,Chinese,20 mins,1 hr,1 hr 20 mins,5,540.0,25g,50g,28g
418,Char Siu (Chinese BBQ Pork),Chinese,10 mins,35 mins,2 hrs 45 mins,4,483.0,9g,54g,44g
419,Grilled Asian Chicken,Chinese,15 mins,15 mins,45 mins,4,217.0,8g,11g,26g
420,Andrea's Steamed Buns,Chinese,40 mins,20 mins,2 hrs 10 mins,24,68.0,2g,11g,1g
421,Chinese Hand-Pulled Noodles in Beef Broth,Chinese,30 mins,2 hrs 45 mins,3 hrs 55 mins,8,671.0,15g,101g,29g
422,Chinese Steamed Buns,Chinese,30 mins,45 mins,4 hrs 45 mins,24,44.0,1g,8g,1g
423,Black Pepper Chicken,Chinese,15 mins,15 mins,45 mins,4,484.0,20g,44g,32g
424,Chinese Tea Eggs,Chinese,20 mins,3 hrs,11 hrs 20 mins,8,75.0,5g,1g,7g
425,Shrimp Egg Foo Young,Chinese,5 mins,20 mins,25 mins,4,227.0,12g,15g,15g
426,Chinese Spareribs,Chinese,5 mins,40 mins,2 hrs 45 mins,2,503.0,31g,23g,30g
427,General Tso's Chicken,Chinese,25 mins,25 mins,50 mins,6,634.0,37g,55g,24g
428,Easy Chinese Corn Soup,Chinese,5 mins,10 mins,15 mins,4,121.0,2g,24g,5g
429,Wonton Soup,Chinese,30 mins,10 mins,1 hr 5 mins,6,195.0,6g,21g,13g
430,Chinese Pepper Steak,Chinese,15 mins,15 mins,30 mins,4,312.0,15g,17g,26g
431,Authentic Chinese Egg Rolls (from a Chinese person),Chinese,1 hr,30 mins,2 hrs 30 mins,20,169.0,7g,16g,10g
432,General Tao Chicken,Chinese,25 mins,25 mins,50 mins,6,522.0,27g,35g,35g
433,Restaurant Style Egg Drop Soup,Chinese,10 mins,10 mins,20 mins,4,76.0,4g,4g,5g
434,Chinese Chicken Wings,Chinese,5 mins,1 hr 5 mins,9 hrs 10 mins,12,256.0,9g,28g,16g
435,Moo Shu Chicken,Chinese,20 mins,30 mins,50 mins,4,319.0,14g,17g,30g
436,"Velveting Chicken Breast, Chinese Restaurant Style",Chinese,10 mins,10 mins,50 mins,4,156.0,6g,2g,23g
329,Crispy Ginger Beef,Chinese,25 mins,20 mins,45 mins,5,364.0,14g,45g,15g
437,Easy Chinese Fried Noodles,Chinese,15 mins,25 mins,40 mins,6,161.0,13g,7g,4g
439,Chicken Fried Rice,Chinese,5 mins,10 mins,15 mins,4,255.0,10g,26g,14g
440,Spicy Szechuan Green Beans,Chinese,15 mins,10 mins,25 mins,2,73.0,3g,11g,3g
441,Quick Chinese-Style Vermicelli (Rice Noodles),Chinese,5 mins,10 mins,15 mins,4,271.0,7g,48g,2g
442,Daddy's Shrimp Toast,Chinese,35 mins,15 mins,50 mins,8,666.0,59g,18g,17g
443,Chinese Chicken Fried Rice,Chinese,25 mins,15 mins,40 mins,7,425.0,10g,48g,35g
444,Bang Bang Chicken,Chinese,15 mins,10 mins,40 mins,4,404.0,21g,27g,27g
445,Shrimp with Lobster Sauce,Chinese,5 mins,20 mins,25 mins,4,308.0,20g,5g,26g
446,Pork Lo Mein,Chinese,15 mins,15 mins,30 mins,4,415.0,11g,55g,26g
447,Moo Goo Gai Pan,Chinese,20 mins,15 mins,35 mins,4,307.0,10g,23g,34g
448,Szechwan Shrimp,Chinese,10 mins,5 mins,15 mins,4,142.0,4g,7g,18g
449,Chinese Broccoli,Chinese,10 mins,10 mins,20 mins,4,101.0,4g,15g,1g
450,Taiwanese Popcorn Chicken,Chinese,30 mins,15 mins,55 mins,6,940.0,92g,8g,22g
451,Crispy Orange Beef,Chinese,20 mins,50 mins,1 hr 40 mins,6,507.0,19g,59g,27g
452,Szechuan Beef,Chinese,10 mins,10 mins,40 mins,6,306.0,21g,13g,18g
453,"Super-Simple, Super-Spicy Mongolian Beef",Chinese,15 mins,10 mins,1 hr 25 mins,4,200.0,12g,8g,15g
454,Broccoli and Carrot Stir Fry,Chinese,10 mins,16 mins,26 mins,5,90.0,6g,8g,3g
455,Green Onion Cakes,Chinese,20 mins,20 mins,1 hr 10 mins,8,49.0,5g,2g,1g
456,Colombian Lentils,Colombian,10 mins,50 mins,1 hr,3,201.0,5g,31g,9g
457,Aji (Colombian Salsa),Colombian,30 mins,,30 mins,8,52.0,4g,5g,1g
458,Colombian Ají,Colombian,10 mins,,10 mins,16,7.0,0g,2g,0g
460,Patacones de Colombia (Fried Plantains),Colombian,10 mins,10 mins,20 mins,3,105.0,4g,19g,1g
462,Colombian Turmada Potatoes (Papa Turmada),Colombian,40 mins,50 mins,1 hr 30 mins,6,645.0,26g,77g,27g
463,Colombian Ahuyama Soup,Colombian,20 mins,20 mins,40 mins,10,88.0,3g,15g,2g
465,Classic Cuban-Style Picadillo,Cuban,10 mins,20 mins,30 mins,4,350.0,19g,24g,24g
466,Mojitos by the Pitcher,Cuban,10 mins,,10 mins,6,160.0,0g,20g,0g
467,Virgin Strawberry Daiquiri,Cuban,5 mins,,5 mins,1,287.0,0g,74g,0g
468,Cuban Ropa Vieja,Cuban,15 mins,4 hrs,4 hrs 15 mins,6,261.0,16g,10g,21g
469,Chef John's Cuban Sandwich,Cuban,15 mins,10 mins,25 mins,2,1473.0,85g,85g,88g
470,Easy Mojitos,Cuban,5 mins,,5 mins,1,121.0,0g,7g,0g
471,Cuban-Style Yuca,Cuban,10 mins,15 mins,25 mins,6,268.0,9g,43g,6g
472,Chef John's Cuban Bread,Cuban,25 mins,20 mins,12 hrs 15 mins,12,172.0,4g,29g,4g
473,Cuban Mojito,Cuban,10 mins,,10 mins,2,,,,
474,Cuban-Style Roast Pork,Cuban,20 mins,2 hrs 30 mins,11 hrs 20 mins,8,265.0,15g,2g,29g
475,Rabo Encendido (Cuban Oxtail Stew),Cuban,35 mins,4 hrs 14 mins,16 hrs 49 mins,8,785.0,42g,23g,73g
476,Classic Cuban Midnight (Medianoche) Sandwich,Cuban,15 mins,8 mins,23 mins,4,1453.0,88g,69g,92g
477,Ropa Vieja (Cuban Beef),Cuban,15 mins,2 hrs 30 mins,11 hrs 30 mins,8,209.0,13g,10g,12g
478,Instant Pot® Cuban-Style Black Beans,Cuban,10 mins,1 hr,1 hr 25 mins,8,234.0,3g,40g,14g
479,Chef John's Grilled Mojo Beef,Cuban,10 mins,8 mins,2 hrs 18 mins,4,382.0,23g,16g,29g
480,Slow Cooker Mojo Pork,Cuban,20 mins,7 hrs 5 mins,13 hrs 25 mins,16,314.0,27g,3g,15g
481,Cuban Marinated Steak,Cuban,15 mins,15 mins,1 hr 5 mins,4,245.0,16g,4g,21g
482,Boliche (Cuban Pot Roast),Cuban,30 mins,3 hrs,6 hrs 40 mins,8,586.0,33g,31g,39g
483,Cuban Shredded Pork,Cuban,25 mins,1 hr 20 mins,2 hrs 15 mins,5,202.0,11g,8g,19g
484,Mojo Shrimp,Cuban,30 mins,15 mins,1 hr 45 mins,4,318.0,22g,12g,20g
485,Arroz con Leche,Cuban,10 mins,40 mins,50 mins,10,325.0,6g,59g,8g
486,Best Ever Cuban Sandwich,Cuban,40 mins,4 hrs,8 hrs 40 mins,4,,,,
487,Easy Cuban Salad,Cuban,15 mins,,15 mins,8,190.0,18g,8g,2g
488,Cuban Chicken,Cuban,15 mins,15 mins,30 mins,4,308.0,13g,28g,21g
489,Cuban-Style Picadillo,Cuban,25 mins,1 hr 10 mins,1 hr 35 mins,6,471.0,22g,30g,26g
491,Cuban Black Bean Soup in the Slow Cooker,Cuban,10 mins,4 hrs 15 mins,4 hrs 25 mins,6,191.0,3g,33g,9g
492,Havana Slow Cooker Pork Tenderloin,Cuban,10 mins,6 hrs,6 hrs 10 mins,6,225.0,5g,7g,36g
493,Cuban Inspired Millet,Cuban,20 mins,35 mins,55 mins,8,130.0,3g,23g,3g
494,Patron Mojito,Cuban,5 mins,,5 mins,1,184.0,,14g,0g
495,Vaca Frita (Pan-Fried Beef),Cuban,15 mins,50 mins,1 hr 45 mins,6,221.0,15g,8g,15g
496,Abuela's Picadillo,Cuban,15 mins,1 hr 10 mins,1 hr 25 mins,8,378.0,22g,22g,24g
497,Cuban Beans and Rice,Cuban,10 mins,50 mins,1 hr,6,258.0,3g,49g,7g
498,Chicken Ropa Vieja,Cuban,40 mins,45 mins,1 hr 25 mins,4,291.0,11g,11g,35g
499,Pacific Cuban Black Beans and Rice,Cuban,20 mins,1 hr 15 mins,1 hr 35 mins,6,559.0,16g,85g,20g
500,Cuban Picadillo,Cuban,25 mins,30 mins,55 mins,8,539.0,28g,45g,33g
501,Cuban Tamales,Cuban,1 hr 30 mins,2 hrs 10 mins,6 hrs 40 mins,14,284.0,15g,24g,11g
502,Cuban Smoked Sausage with Chickpeas,Cuban,10 mins,1 hr 10 mins,1 hr 20 mins,6,510.0,28g,40g,25g
503,Chef John's Picadillo,Cuban,10 mins,45 mins,55 mins,4,485.0,27g,26g,37g
504,Cuban Black Beans II,Cuban,15 mins,1 hr 30 mins,9 hrs 45 mins,8,290.0,8g,44g,14g
505,Mojo Pollo Asada (Roast Chicken),Cuban,15 mins,1 hr 5 mins,5 hrs 30 mins,8,562.0,40g,2g,46g
506,Mojito Perfecto,Cuban,10 mins,,10 mins,2,139.0,0g,12g,0g
507,Slow Cooker Cuban Pork,Cuban,30 mins,9 hrs,10 hrs 30 mins,12,298.0,15g,8g,31g
508,Baked Cuban Chicken,Cuban,15 mins,50 mins,2 hrs 5 mins,6,270.0,13g,10g,28g
509,Cucumber Chili Salad,Cuban,15 mins,,1 hr 15 mins,4,56.0,4g,7g,1g
510,"Lomo de Res, Cuban-Style Rib-Eye Steaks",Cuban,10 mins,10 mins,50 mins,4,389.0,21g,16g,28g
511,Cuban Chicken Sandwich,Cuban,15 mins,10 mins,2 hrs 25 mins,4,661.0,19g,64g,54g
512,Avocado-Lime Shrimp Salad (Ensalada de Camarones con Aguacate y Limon),Cuban,25 mins,,25 mins,6,301.0,17g,19g,23g
513,Fricase de Pollo,Cuban,25 mins,15 mins,1 hr,3,454.0,27g,7g,43g
514,Rabbit Fricassee Cuban-Style,Cuban,30 mins,45 mins,1 hr 15 mins,6,578.0,22g,46g,48g
515,Cuban-Style Mojo Shrimp,Cuban,25 mins,10 mins,50 mins,4,372.0,25g,19g,20g
516,Toasted Cuban Sandwich,Cuban,30 mins,15 mins,1 hr 45 mins,8,696.0,54g,30g,24g
517,Pineapple Mango Daiquiri,Cuban,5 mins,,5 mins,1,337.0,0g,41g,1g
518,Shredded Slow Cooker Cuban Beef,Cuban,30 mins,7 hrs 10 mins,7 hrs 40 mins,4,258.0,12g,16g,21g
519,Cuban Banana Casserole,Cuban,10 mins,30 mins,45 mins,8,312.0,17g,42g,2g
520,Cuban Pork,Cuban,15 mins,15 mins,30 mins,4,176.0,7g,2g,26g
521,Sweet Creme de Vie,Cuban,15 mins,10 mins,6 hrs 25 mins,20,260.0,4g,28g,3g
522,Bistec Encebollado (Cuban Steak and Onions),Cuban,10 mins,25 mins,1 hr 35 mins,4,383.0,20g,13g,36g
523,Guava Cuban Pastry (Pastelito de Guayaba),Cuban,20 mins,20 mins,40 mins,18,189.0,11g,22g,2g
524,Smokey Vegetarian Cuban Black Bean Soup,Cuban,15 mins,1 hr 25 mins,9 hrs 40 mins,8,356.0,10g,48g,18g
525,Chicharrones de Pollo,Cuban,20 mins,20 mins,2 hrs 40 mins,6,362.0,12g,23g,29g
526,Cuban Goulash,Cuban,20 mins,40 mins,1 hr,6,197.0,6g,27g,11g
527,Cuban Mini Melts,Cuban,15 mins,10 mins,25 mins,10,208.0,11g,16g,12g
528,Mamita's Mojito Scallop Kabobs with Stuffed Tomatoes,Cuban,20 mins,35 mins,8 hrs 55 mins,2,770.0,21g,99g,56g
529,Danish Almond Puff,Danish,15 mins,1 hr,2 hrs,8,424.0,26g,42g,6g
530,Danish Pastry Apple Bars,Danish,30 mins,1 hr,1 hr 30 mins,12,356.0,18g,47g,4g
531,Danish Cinnamon Snails,Danish,30 mins,10 mins,1 hr 30 mins,15,301.0,15g,37g,6g
